ORIGINAL SENTENCE,Sentence,Command,CATEGORY
The color of her eyes was a striking shade of green. Bangkok is a city known for its vibrant street food scene and temples.,,,NON COMMAND
France is a country known for its rich history and culture. The color of the sunset was a beautiful shade of pink.,,,NON COMMAND
The date of the concert is set for July 20th. Italy is a country known for its delicious pizza and pasta.,,,NON COMMAND
The duration of the flight is approximately 8 hours. The date of the wedding is set for October 5th.,,,NON COMMAND
She won a large amount of money in the lottery. The duration of the concert is approximately 3 hours.,,,NON COMMAND
The number of pages in the book is 300. She saved a lot of money by shopping during the Black Friday sales.,,,NON COMMAND
"The percentage of people who prefer chocolate over vanilla ice cream is 60%. The number of books in the library is 5,000.",,,NON COMMAND
He earned a lot of money from his successful business venture. The percentage of people who prefer dogs over cats is 65%.,,,NON COMMAND
The age of the oldest person in the room is 90. The amount of money he earned from his part-time job was $500.,,,NON COMMAND
San Francisco is a city known for its iconic Golden Gate Bridge and hilly streets. He is 40 years of age and has two children.,,,NON COMMAND
The color of his shirt was a bright shade of yellow. Amsterdam is a city known for its picturesque canals and coffee shops.,,,NON COMMAND
Germany is a country known for its beer and sausages. The color of the flowers in the garden was a lovely shade of purple.,,,NON COMMAND
The date of the conference is set for September 15th. Australia is a country known for its unique wildlife and beaches.,,,NON COMMAND
The duration of the movie is approximately 2 hours. The date of the party is set for November 10th.,,,NON COMMAND
She invested a large amount of money in the stock market. The duration of the play is approximately 2 hours and 30 minutes.,,,NON COMMAND
The number of attendees at the seminar was 50. She won a small amount of money from the scratch-off ticket.,,,NON COMMAND
The percentage of people who own a car is 80%. The number of students in the class is 20.,,,NON COMMAND
"The amount of money she spent on her vacation was $2,000. The percentage of people who prefer tea over coffee is 45%.",,,NON COMMAND
He is 25 years of age and just started his own business. The amount of money she donated to charity was $100.,,,NON COMMAND
Bangkok is a city known for its vibrant street food scene and temples. He is 50 years of age and has been working at the same company for 25 years.,,,NON COMMAND
The color of the sunset was a beautiful shade of pink. Dubai is a city known for its luxurious shopping malls and towering skyscrapers.,,,NON COMMAND
Italy is a country known for its delicious pizza and pasta. The color of the sky during the sunrise was a breathtaking shade of orange.,,,NON COMMAND
The date of the wedding is set for October 5th. Brazil is a country known for its carnival and samba music.,,,NON COMMAND
The duration of the concert is approximately 3 hours. The date of the festival is set for December 25th.,,,NON COMMAND
She saved a lot of money by shopping during the Black Friday sales. The duration of the soccer game is approximately 1 hour and 45 minutes.,,,NON COMMAND
"The number of books in the library is 5,000. She won a scholarship that covers 50% of her tuition fees.",,,NON COMMAND
The percentage of people who prefer dogs over cats is 65%. The number of cars in the parking lot is 100.,,,NON COMMAND
The amount of money he earned from his part-time job was $500. The percentage of people who have a gym membership is 70%.,,,NON COMMAND
He is 40 years of age and has two children. The amount of money he spent on his new phone was $800.,,,NON COMMAND
